month,count,sentiment,subjectivity,reading_ease,grade_level,retweet_count,favorite_count,length,subject
2015-06,25,0.12761183261183265,0.500046176046176,70.356,7.035999999999999,712.92,1026.0000000000002,192.76,foreign_policy
2015-05,23,0.13184053265575008,0.3648644833427442,68.69347826086957,6.9739130434782615,111.65217391304348,171.65217391304347,175.0,foreign_policy
2015-04,16,0.08068576388888887,0.29592013888888885,61.070625,7.94375,124.75000000000001,157.125,155.1875,foreign_policy
2015-03,7,0.017158882783882785,0.20297619047619048,53.4,10.542857142857143,312.85714285714283,304.57142857142856,289.14285714285717,foreign_policy
2015-02,6,0.05277777777777779,0.5180555555555555,64.19833333333334,7.833333333333333,745.6666666666666,564.8333333333334,161.66666666666666,foreign_policy
2015-01,5,0.25999999999999995,0.575,66.708,7.619999999999999,43.0,72.8,159.0,foreign_policy
2014-12,10,-0.10376911976911977,0.25679473304473305,59.58399999999999,8.680000000000001,118.3,127.7,167.5,foreign_policy
2014-11,11,0.15764823788024546,0.4362656142959173,44.73181818181818,13.390909090909089,221.0909090909091,269.90909090909093,364.09090909090907,foreign_policy
2014-10,28,-0.09700467687074828,0.37611819727891155,70.34999999999998,6.692857142857144,305.6071428571428,321.57142857142856,142.07142857142856,foreign_policy
2014-09,19,-0.019377990430621998,0.32345494417862836,70.84736842105264,6.363157894736841,251.57894736842104,282.6842105263158,119.36842105263158,foreign_policy
2014-08,13,0.022002442002442,0.25622710622710626,60.14461538461538,8.453846153846154,304.7692307692308,258.15384615384613,172.53846153846155,foreign_policy
2014-07,18,-0.003010623635623633,0.27971258679592004,55.50055555555556,9.427777777777779,205.44444444444446,203.0,328.1111111111111,foreign_policy
2014-06,21,-0.034380196523053665,0.3719510582010581,60.18761904761904,8.609523809523811,384.3333333333333,323.9047619047619,159.04761904761904,foreign_policy
2014-05,8,0.11415178571428572,0.5227678571428571,67.16375,7.275,281.25,335.625,113.25,foreign_policy
2014-04,9,-0.16635802469135802,0.5155864197530864,66.44111111111111,8.211111111111112,155.22222222222223,148.33333333333334,132.88888888888889,foreign_policy
2014-03,7,0.16569727891156466,0.3612925170068027,65.22142857142856,8.657142857142857,281.0,312.42857142857144,138.71428571428572,foreign_policy
2014-02,3,0.028124999999999994,0.225,70.01666666666667,9.4,250.66666666666666,187.66666666666666,125.0,foreign_policy
2014-01,3,-0.16666666666666666,0.25,64.82666666666667,8.6,117.66666666666667,107.33333333333333,121.0,foreign_policy
2013-12,3,0.0011453823953824032,0.36490259740259745,65.95333333333333,8.866666666666665,770.6666666666666,479.0,137.66666666666666,foreign_policy
2013-11,4,-0.06374999999999999,0.45958333333333334,51.980000000000004,10.25,245.0,151.5,132.25,foreign_policy
2013-10,8,-0.08083386269527576,0.4764701557500471,61.42875,8.725,836.25,509.87500000000006,540.875,foreign_policy
2013-09,10,0.0694166666666667,0.4456666666666666,63.785000000000004,8.11,124.6,46.5,187.7,foreign_policy
2013-08,11,-0.09638134592680046,0.3517212711530893,62.305454545454545,8.5,275.3636363636364,186.27272727272728,180.45454545454547,foreign_policy
2013-07,11,0.03198276392168439,0.43618982028072945,46.55454545454547,12.481818181818182,86.0,42.09090909090909,438.54545454545456,foreign_policy
2013-06,16,0.10188210227272727,0.32422506313131316,64.445625,8.075000000000001,111.25000000000001,43.375,211.75,foreign_policy
2013-05,13,0.05784188034188033,0.3779594017094017,56.47461538461538,10.169230769230769,151.23076923076923,61.46153846153846,190.15384615384616,foreign_policy
2013-04,33,0.05041718418788306,0.44891843799994263,58.96575757575756,9.79393939393939,112.51515151515152,56.96969696969697,454.51515151515156,foreign_policy
2013-03,17,0.025910576351752812,0.44438799762329184,66.21529411764708,7.617647058823529,180.47058823529412,69.23529411764706,135.2941176470588,foreign_policy
2013-02,15,0.03390211640211641,0.3825396825396826,62.05799999999999,8.160000000000002,337.4,124.0,116.86666666666666,foreign_policy
2013-01,10,0.12575769142673904,0.311730369454179,46.504000000000005,12.690000000000001,298.4,128.7,1172.4,foreign_policy
2012-12,8,0.09575892857142859,0.5489087301587301,64.2475,8.4,226.375,53.0,104.125,foreign_policy
2012-11,16,0.11279296874999999,0.27948133680555554,60.38749999999999,10.137500000000003,490.0,200.0625,293.75,foreign_policy
2012-10,18,0.022500000000000003,0.3458950617283951,70.37222222222222,7.0555555555555545,652.8888888888889,156.83333333333334,114.88888888888889,foreign_policy
2012-09,11,-0.02547348484848485,0.36590909090909085,70.94,6.690909090909091,227.0909090909091,37.27272727272727,114.27272727272727,foreign_policy
2012-08,27,0.14468761690983914,0.2560231949120838,67.6262962962963,7.525925925925926,245.0,42.666666666666664,120.66666666666667,foreign_policy
2012-07,8,-0.16041666666666668,0.34687500000000004,67.2925,8.0125,152.5,24.625,124.75,foreign_policy
2012-06,11,0.0006887052341597891,0.26694214876033057,68.03272727272726,6.681818181818182,177.72727272727272,25.181818181818183,124.9090909090909,foreign_policy
2012-05,10,0.12392152658662092,0.36457656756241663,48.934,12.580000000000002,119.1,11.8,953.6,foreign_policy
2012-04,13,0.011848040756229326,0.4225579307651269,51.37538461538462,13.084615384615386,107.15384615384616,19.76923076923077,813.3846153846154,foreign_policy
2012-03,11,-0.00010101010101009914,0.47010101010101,53.58,11.49090909090909,99.63636363636364,13.454545454545455,243.72727272727272,foreign_policy
2012-02,23,0.028855244996549397,0.5479468599033817,62.6017391304348,9.769565217391303,105.73913043478261,29.347826086956523,245.08695652173913,foreign_policy
2012-01,12,0.10121132390154129,0.33081776943869334,48.48333333333333,12.475,167.5,13.916666666666666,697.6666666666666,foreign_policy
2011-12,17,0.02697563874034462,0.4146231219760632,70.36294117647058,6.276470588235292,112.94117647058823,19.705882352941178,118.6470588235294,foreign_policy
2011-11,13,0.09391996891996893,0.2121406371406371,60.350769230769224,8.523076923076921,167.3846153846154,23.53846153846154,126.84615384615384,foreign_policy
2011-10,12,0.03090277777777778,0.09999999999999999,64.43083333333333,7.041666666666667,194.66666666666666,65.75,101.83333333333333,foreign_policy
2011-09,9,0.1675925925925926,0.38458994708994715,68.66444444444446,6.700000000000001,217.22222222222223,35.44444444444444,115.33333333333333,foreign_policy
2011-08,6,0.1125,0.1625,75.85000000000001,5.066666666666666,408.0,47.5,85.83333333333333,foreign_policy
2011-07,4,0.006249999999999999,0.175,61.07499999999999,8.85,276.5,33.0,104.75,foreign_policy
2011-01,1,0.11607142857142855,0.45535714285714285,69.79,6.0,73,26,127,foreign_policy
2010-08,1,0.2681818181818182,0.6772727272727272,26.81,14.2,193,32,128,foreign_policy
2010-06,1,1.0,0.3,73.51,8.7,25,4,139,foreign_policy
2020-10,7,0.08152565192743765,0.2881136621315193,68.67999999999999,7.042857142857143,28516.0,128503.14285714286,182.28571428571428,domestic_policy
2020-09,167,0.09898676761136223,0.43080205126063437,65.22544910179646,7.836526946107786,18566.12574850298,53662.502994011964,191.562874251497,domestic_policy
2020-08,175,0.07568940377592533,0.3737343059850202,65.1696571428572,7.807999999999994,23619.33142857143,66135.38857142863,171.7714285714286,domestic_policy
2020-07,130,0.0207035848988974,0.40986627261627256,64.13215384615381,8.186153846153855,21700.830769230768,65969.1307692308,182.50769230769225,domestic_policy
